column	type	label	min	max
PATID	character	Encrypted unique identifier given to a patient in CPRD Aurum	NA	NA
PRACID	character	Encrypted unique identifier given to a practice in CPRD Aurum	NA	NA
GENDER	numeric	Patient gender	1	2
YOB	numeric	Patient year of birth	1899	2003
MOB	numeric	Patient month of birth (for those under 16)	5	8
ACCEPTABLE	numeric	Flag to indicate whether the patient has met certain quality standards	1	1
REGSTARTDATE	numeric	Date the patient registered with the CPRD contributing practice	-17848	21474
REGENDDATE	numeric	Date the patient registration at the practice ended	10773	2936547
CPRD_DDATE	numeric	Estimated date of death (derived using a CPRD algorithm)	10773	21860
REGION	numeric	Value to indicate where in the UK the practice is based	1	10
LCD	numeric	Date of the most recent CPRD data collection for the practice	21096	21863
UTS	numeric	Date at which practice data is deemed to be of research quality based on CRPD algorithm (not currently populated)	Inf	-Inf
INDEXDATE	numeric	Date of first population defining event	10416	21859
case_status	numeric	Case/control status	0	1
SETID	numeric	Matched set identifier	1	3324
case_and_control	numeric	Flag: patient is in this dataset as both a case and a control	0	1
ALCOHOL_STATUS_CAT	numeric	Most recent drinking status captured at least 1 year prior to index date	0	2
ALCOHOL_STATUS_CAT_DT	numeric	Most recent drinking status captured at least 1 year prior to index date: date	-36524	21472
ALCOHOL_STATUS_TIME_TO_ENDOFFUP	numeric	Most recent drinking status: # of days collected prior to end of follow up	365	54086
HEIGHT_IN_M	numeric	Height: most recently reported captured at least 1 year prior to index date, meters	1.0182	2.5
OBESITY	numeric	Obesity: most recent status captured at least 1 year prior to index date	1	5
OBESITY_DATE	numeric	Obesity: most recent status captured at least 1 year prior to index date, date	-3403	21472
OBESITY_METHOD	numeric	Obesity: most recent status captured at least 1 year prior to index date, method of report (1=continuous, 2=categorical)	1	2
OBESITY_TIME_TO_ENDOFFUP	numeric	Obesity: # of days collected prior to end of follow up	365	17480
first_date_of_smoking	numeric	Date of first report of smoking	11596	21801
tb_lt10	numeric	Flag: ever have a medical code for tuberculosis 1-10 yrs prior to index date	0	1
tb_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for tuberculosis 1-10 yrs prior to index date	11219	21063
flu_lt10	numeric	Flag: ever have a medical code for flu 1-10 yrs prior to index date	0	1
flu_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for flu 1-10 yrs prior to index date	10311	20662
uresp_lt10	numeric	Flag: ever have a medical code for upper respiratory infection 1-10 yrs prior to index date	0	1
uresp_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for upper respiratory infection 1-10 yrs prior to index date	9862	21357
gi_gastrexact_lt10	numeric	Flag: ever have a medical code for gastroentiritis exact 1-10 yrs prior to index date	0	1
gi_gastrexact_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for gastroentiritis exact 1-10 yrs prior to index date	10305	21138
gi_gastrrelated_lt10	numeric	Flag: ever have a medical code for gastroentiritis related 1-10 yrs prior to index date	0	1
gi_gastrrelated_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for gastroentiritis related 1-10 yrs prior to index date	10305	21138
gi_gastrhyper_lt10	numeric	Flag: ever have a medical code for gastroentiritis hypertrophic 1-10 yrs prior to index date	0	0
gi_gastrhyper_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for gastroentiritis hypertrophic 1-10 yrs prior to index date	Inf	-Inf
gi_gastrai_lt10	numeric	Flag: ever have a medical code for gastroentiritis AI 1-10 yrs prior to index date	0	1
gi_gastrai_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for gastroentiritis AI 1-10 yrs prior to index date	11126	20457
gi_gastracute_lt10	numeric	Flag: ever have a medical code for gastroentiritis acute 1-10 yrs prior to index date	0	1
gi_gastracute_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for gastroentiritis acute 1-10 yrs prior to index date	11499	20587
gi_gastrchronic_lt10	numeric	Flag: ever have a medical code for gastroentiritis chronic 1-10 yrs prior to index date	0	1
gi_gastrchronic_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for gastroentiritis chronic 1-10 yrs prior to index date	10593	20832
gi_gastritis_lt10	numeric	Flag: ever have a medical code for gastritis 1-10 yrs prior to index date	0	1
gi_gastritis_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for gastritis 1-10 yrs prior to index date	10305	21138
gi_gastrcolitis_lt10	numeric	Flag: ever have a medical code for colitis 1-10 yrs prior to index date	0	1
gi_gastrcolitis_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for colitis 1-10 yrs prior to index date	11498	20667
gi_gerd_lt10	numeric	Flag: ever have a medical code for GERD 1-10 yrs prior to index date	0	1
gi_gerd_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for GERD 1-10 yrs prior to index date	9862	21312
ai_dmt1_lt10	numeric	Flag: ever have a medical code for type 1 diabetes 1-10 yrs prior to index date	0	1
ai_dmt1_lt10_date	numeric	1st Medcodeid Event Date: ever have a medical code for type 1 diabetes 1-10 yrs prior to index date	10958	20947
