column	type	label	min	max
PRACID	numeric	Encrypted unique identifier given to a specific practice in CPRD GOLD	1	894
REGION	numeric	Value to indicate where in the UK the practice is based. The region denotes the Strategic Health Authority for practices within England, and the country i.e. Wales, Scotland, or Northern Ireland for the rest	1	13
CASE_STATUS	numeric	Case/control status (1=Case,0=Control)	0	1
ACCEPT	numeric	Flag to indicate whether the patient has met certain quality standards: 1 = acceptable, 0 = unacceptable	1	1
GENDER	numeric	Patient s gender	1	2
PATID	numeric	Encrypted unique identifier given to a patient in CPRD GOLD	1287	126335691
YOB	numeric	Patient s year of birth	1901	2003
CRD	Date	Date the patient s current period of registration with the practice began (date of the first  permanent  record after the latest transferred out period). If there are no  transferred out periods , the date is equal to `frd	1904-08-30	2018-09-03
DEATHDATE	Date	Date of death of patient  derived using a CPRD algorithm	1915-01-04	2019-11-13
TOD	Date	Date the patient transferred out of the practice, if relevant. Empty for patients who have not transferred out	1915-01-04	2019-11-13
INDEXDATE	Date	Index date (based on selection criteria	1989-12-08	2019-11-15
UTS	Date	Date at which the practice data is deemed to be of research quality. Derived using a CPRD algorithm that primarily looks at practice death recording and gaps in the data	1987-09-09	2019-10-06
SETID	numeric	Matched set identifier	1	1850
case_and_control	numeric	Flag: patient is in this dataset as both a case and a control	0	1
entry	numeric	Later of CRD and UTS	10209	21828
exit	numeric	First of TOD, death, LCD, index date	-16433	21868
indexage	numeric	Age at index date	3	102
first_date_of_smoking	numeric	Date smoking was first reported	11444	21865
SMOKE_STAT	numeric	Smoking status prior to diagnosis (0 years minimum)	2	2
SMOKE_DT	Date	Smoking: Last date assessed (0 years minimum)	1928-10-03	2019-10-30
SMOKE_DIFF	numeric	Smoking: Days difference (0 years minimum)	0	26697
BMI_M12_ALL	numeric	BMI most closely preceding diagnosis (combined, 12 month minimum)	1	4
BMI_M12_ALL_DT	numeric	Date of BMI most closely preceding diagnosis (combined, 12 month minimum)	-1318	21489
BMI_M12_ALL_DIFF	numeric	# days between index date and BMI most closely preceding diagnosis (combined, 12 month minimum)	365	18024
ALCOHOL_STATUS_MR	numeric	Alcohol status prior to diagnosis (0 years mim)	0	2
ALCOHOL_AGE_MR	numeric	Age at alcohol status most closely preceding diagnosis (0 years mim)	4	101
ALCOHOL_DT	Date	Alcohol date assessed (0 years min)	1985-11-01	2019-10-30
ALCOHOL_DIFF	numeric	Alcohol # days difference (0 years min)	0	10244
ALCOHOL_STATUS_MR_1YRS	numeric	Alcohol status prior to diagnosis (1 years mim)	0	2
ALCOHOL_AGE_MR_1YRS	numeric	Age at alcohol status most closely preceding diagnosis (1 years mim)	4	100
ALCOHOL_DT_1YRS	Date	Alcohol date assessed (1 years min)	1980-12-24	2018-09-27
ALCOHOL_DIFF_1YRS	numeric	Alcohol # days difference (1 years min)	365	11365
NMSC_UNKNOWN_lt10	numeric	Flag: Ever have a MEDCODE for NMSC unknown 1-10 years prior to index date	0	1
NMSC_UNKNOWN_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for NMSC unknown 1-10 years prior to index date	12419	20081
HealthyDiet_lt10	numeric	Flag: Ever have a MEDCODE for healthy diet 1-10 years prior to index date	0	1
HealthyDiet_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for healthy diet 1-10 years prior to index date	11014	21328
HighExercise_lt10	numeric	Flag: Ever have a MEDCODE for high exercise  1-10 years prior to index date	0	1
HighExercise_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for high exercise  1-10 years prior to index date	11374	20382
FHCancer_lt10	numeric	Flag: Ever have a MEDCODE for family history of cancer 1-10 years prior to index date	0	1
FHCancer_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for family history of cancer 1-10 years prior to index date	12122	20916
InfectInflam_lt10	numeric	Flag: Ever have a MEDCODE for infections and inflammation 1-10 years prior to index date	0	1
InfectInflam_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections and inflammation 1-10 years prior to index date	9862	21467
InfectInflam_Pneum_lt10	numeric	Flag: Ever have a MEDCODE for pneumonia 1-10 years prior to index date	0	1
InfectInflam_Pneum_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for pneumonia 1-10 years prior to index date	9862	21194
InfectInflam_Heart_lt10	numeric	Flag: Ever have a MEDCODE for infections affecting heart 1-10 years prior to index date	0	1
InfectInflam_Heart_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting heart 1-10 years prior to index date	12634	19798
InfectInflam_HN_lt10	numeric	Flag: Ever have a MEDCODE for infections affecting head and neck 1-10 years prior to index date	0	1
InfectInflam_HN_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting head and neck 1-10 years prior to index date	9862	21318
InfectInflam_Menin_lt10	numeric	Flag: Ever have a MEDCODE for meningitis 1-10 years prior to index date	0	1
InfectInflam_Menin_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for meningitis 1-10 years prior to index date	11102	18944
InfectInflam_Hep_lt10	numeric	Flag: Ever have a MEDCODE for hepatitis 1-10 years prior to index date	0	1
InfectInflam_Hep_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for hepatitis 1-10 years prior to index date	10737	18459
InfectInflam_TB_lt10	numeric	Flag: Ever have a MEDCODE for tuberculosis 1-10 years prior to index date	0	1
InfectInflam_TB_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for tuberculosis 1-10 years prior to index date	12227	20740
InfectInflam_Herpes_lt10	numeric	Flag: Ever have a MEDCODE for herpes (not zoster) 1-10 years prior to index date	0	1
InfectInflam_Herpes_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for herpes (not zoster) 1-10 years prior to index date	10829	21118
InfectInflam_UT_lt10	numeric	Flag: Ever have a MEDCODE for infections affecting urinary tract 1-10 years prior to index date	0	1
InfectInflam_UT_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting urinary tract 1-10 years prior to index date	10593	21340
InfectInflam_GI_lt10	numeric	Flag: Ever have a MEDCODE for infections affecting GI tract 1-10 years prior to index date	0	1
InfectInflam_GI_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for infections affecting GI tract 1-10 years prior to index date	9862	21300
InfectInflam_GI_Diver_lt10	numeric	Flag: Ever have a MEDCODE for diverticula 1-10 years prior to index date	0	1
InfectInflam_GI_Diver_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for diverticula 1-10 years prior to index date	10114	21320
InfectInflam_GI_Haem_lt10	numeric	Flag: Ever have a MEDCODE for haemorrhoids 1-10 years prior to index date	0	1
InfectInflam_GI_Haem_lt10_d	numeric	1st Medcode Event Date: Ever have a MEDCODE for haemorrhoids 1-10 years prior to index date	10227	21300
InfectInflam_OBGYN_lt10	numeric	Flag: Ever have a MEDCODE for OBGYN-associated infections 1-10 years prior to index date	0	1
